,score
1118,7.71
4617,6.85
9116,5.96
10264,5.67
2982,7.21
11762,5.1
7565,6.28
8998,5.98
3130,7.18
8084,6.17
543,8.03
9748,5.8
410,8.14
5120,6.74
8283,6.13
12263,4.68
10249,5.67
10728,5.53
2215,7.37
2631,7.28
2333,7.34
2859,7.23
12230,4.72
3881,7.03
4791,6.81
10931,5.46
9284,5.92
7061,6.38
2119,7.39
7493,6.29
733,7.9
8893,6.01
3859,7.03
8689,6.05
10463,5.61
8158,6.16
3418,7.13
7897,6.21
3889,7.03
3433,7.13
10599,5.57
12135,4.81
12401,4.47
7317,6.33
11514,5.23
2633,7.28
9642,5.83
6698,6.45
12562,3.36
10390,5.63
6113,6.55
5601,6.65
8972,5.99
11397,5.29
12469,4.25
4960,6.78
8951,5.99
9773,5.79
2688,7.27
12170,4.78
2564,7.29
4043,6.99
902,7.81
8431,6.1
7063,6.38
1692,7.51
7283,6.33
5337,6.71
5065,6.76
493,8.08
5372,6.7
9509,5.86
3834,7.04
9627,5.84
2864,7.23
8065,6.18
6319,6.52
6058,6.56
5804,6.61
8794,6.03
150,8.44
7764,6.24
5163,6.74
3550,7.1
8373,6.11
6311,6.52
12056,4.88
7652,6.26
8375,6.11
5350,6.7
9573,5.85
8950,6.0
1614,7.53
5948,6.58
6618,6.46
12526,3.83
708,7.91
10158,5.7
11851,5.05
2742,7.26
3658,7.07
2929,7.22
6326,6.52
756,7.89
2629,7.28
8318,6.13
12111,4.83
1090,7.72
35,8.78
4536,6.87
7727,6.25
4907,6.79
9756,5.8
6580,6.47
6649,6.46
7853,6.22
9150,5.95
9505,5.87
428,8.13
12174,4.77
6325,6.52
10319,5.65
7047,6.38
3021,7.2
4122,6.97
9289,5.92
3016,7.2
7042,6.38
10860,5.49
1061,7.73
10269,5.67
9071,5.97
8423,6.11
2020,7.42
5912,6.59
2865,7.23
3194,7.17
1432,7.58
10403,5.63
4860,6.8
704,7.92
8040,6.18
9743,5.8
2927,7.22
2407,7.32
2680,7.27
3265,7.16
608,7.98
7284,6.33
4782,6.82
2412,7.32
2452,7.31
3080,7.19
10883,5.48
3821,7.04
6504,6.48
6860,6.42
12558,3.47
4520,6.87
6152,6.54
758,7.89
6392,6.51
5277,6.72
8183,6.15
7924,6.21
12500,4.1
3613,7.09
4336,6.92
4308,6.93
399,8.15
930,7.79
10611,5.56
8585,6.07
542,8.03
10362,5.64
7308,6.33
4410,6.9
3519,7.11
9194,5.94
1418,7.58
4438,6.89
2238,7.36
6791,6.43
4671,6.84
9572,5.85
12550,3.57
1459,7.57
367,8.18
1393,7.6
3958,7.01
6223,6.53
9656,5.83
5331,6.71
10428,5.62
11801,5.08
6452,6.49
3393,7.13
1670,7.52
12386,4.5
63,8.66
5643,6.64
5875,6.6
134,8.48
5716,6.63
11627,5.18
7612,6.27
4826,6.81
4420,6.9
11692,5.14
6414,6.5
799,7.86
6275,6.53
10585,5.57
696,7.92
427,8.13
7614,6.27
3542,7.1
1955,7.43
2039,7.41
